href,language_num,sex,birth_place,native_language,other_languages,age_sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,age
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=12,arabic10,male,"['cairo,', 'egypt']","arabic
(arz)","['french', 'german', '']","['26,', 'male', '']",5.0,academic,usa,2.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=13,arabic11,female,"['monastir,', 'tunisia']","arabic
(aeb)","['french', '']","['30,', 'female', '']",14.0,academic,usa,4.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=14,arabic12,male,"['baghdad,', 'iraq']","arabic
(acm)",['none'],"['32,', 'male', '']",11.0,academic,usa,8.0,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=15,arabic13,male,"['zabbougha,', 'lebanon']","arabic
(apc)","['french', 'swedish', '']","['25,', 'male', '']",15.0,academic,usa,1.0,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=428,arabic14,male,"['amman,', 'jordan']","arabic
(ajp)","['hebrew', '']","['47,', 'male', '']",11.0,naturalistic,usa,25.0,47.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=437,arabic15,male,"['qayrawan,', 'tunisia']","arabic
(aeb)","['french', '']","['40,', 'male', '']",33.0,naturalistic,usa,7.0,40.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=625,arabic19,male,"['khouribga,', 'morocco']","arabic
(ary)","['french', '']","['43,', 'male', '']",18.0,academic,usa,8.0,43.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=643,arabic20,male,"['valley,', 'lebanon']","arabic
(apc)","['french', 'german', '']","['36,', 'male', '']",12.0,academic,usa,1.0,36.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=670,arabic21,female,"['beirut,', 'lebanon']","arabic
(apc)","['french', '']","['46,', 'female', '']",30.0,naturalistic,usa,13.0,46.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=927,arabic23,male,"['mahalla,', 'egypt']","arabic
(arz)","['italian', 'farsi', 'french', 'hebrew', '']","['42,', 'male', '']",13.0,academic,usa,8.0,42.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1011,arabic25,male,"['(occupied', 'territory)']","arabic
(ajp)","['french', 'spanish', '']","['38,', 'male', '']",5.0,naturalistic,usa,33.0,38.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1012,arabic26,female,"['amman,', 'jordan']","arabic
(ajp)",['none'],"['43,', 'female', '']",14.0,academic,usa,28.0,43.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1013,arabic27,male,"['jerusalem,', 'israel']","arabic
(ajp)","['farsi', 'hebrew', '']","['70,', 'male', '']",10.0,academic,usa,30.0,70.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1115,arabic28,male,"['arab', 'emirates']","arabic
(afb)",['none'],"['30,', 'male', '']",12.0,academic,usa,1.0,30.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1116,arabic29,male,"['doha,', 'qatar']","arabic
(afb)",['none'],"['19,', 'male', '']",17.0,academic,usa,0.3,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1133,arabic30,female,"['saudi', 'arabia']","arabic
(ars)",['none'],"['19,', 'female', '']",8.0,naturalistic,usa,11.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1181,arabic31,female,"['baghdad,', 'iraq']","arabic
(acm)",['none'],"['47,', 'female', '']",12.0,academic,usa,0.3,47.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1203,arabic32,male,"['baghdad,', 'iraq']","arabic
(acm)",['none'],"['42,', 'male', '']",12.0,academic,usa,16.0,42.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1204,arabic33,female,"['baghdad,', 'iraq']","arabic
(acm)",['none'],"['28,', 'female', '']",11.0,academic,usa,0.3,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1253,arabic34,female,"['city,', 'kuwait']","arabic
(afb)","['french', '']","['34,', 'female', '']",6.0,academic,usa,4.0,34.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1391,arabic35,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['56,', 'male', '']",16.0,naturalistic,usa,33.0,56.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1392,arabic36,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['36,', 'male', '']",6.0,academic,usa,6.0,36.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1393,arabic37,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['18,', 'male', '']",16.0,academic,usa,0.4,18.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1394,arabic38,female,"['maryland,', 'usa']","arabic
(acw)",['none'],"['19,', 'female', '']",9.0,academic,usa,12.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1405,arabic39,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['22,', 'male', '']",5.0,academic,usa,2.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1420,arabic40,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['19,', 'male', '']",13.0,academic,usa,0.1,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1421,arabic41,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['25,', 'male', '']",7.0,academic,usa,1.5,25.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1422,arabic42,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['21,', 'male', '']",13.0,academic,usa,0.5,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1455,arabic44,female,"['saudi', 'arabia']","arabic
(acw)",['none'],"['29,', 'female', '']",7.0,academic,usa,0.6,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1456,arabic45,female,"['colorado,', 'usa']","arabic
(acw)","['turkish', '']","['32,', 'female', '']",12.0,naturalistic,usa,0.5,32.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1457,arabic46,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['28,', 'male', '']",13.0,academic,usa,1.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1458,arabic47,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['39,', 'male', '']",16.0,academic,usa,0.75,39.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1459,arabic48,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['29,', 'male', '']",12.0,academic,usa,1.0,29.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1460,arabic49,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['26,', 'male', '']",8.0,academic,usa,1.0,26.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1461,arabic50,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['36,', 'male', '']",22.0,academic,usa,0.75,36.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1486,arabic51,male,"['saudi', 'arabia']","arabic
(acw)",['none'],"['23,', 'male', '']",12.0,academic,usa,4.0,23.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1487,arabic52,female,"['saudi', 'arabia']","arabic
(acw)",['none'],"['21,', 'female', '']",9.0,academic,usa,5.0,21.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1526,arabic53,male,"['rabat,', 'morocco']","arabic
(ary)","['french', 'tachelhit', 'danish', 'swedish', '']","['36,', 'male', '']",17.0,academic,usa,12.0,36.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1565,arabic54,male,"['baghdad,', 'iraq']","arabic
(acm)","['french', '']","['22,', 'male', '']",7.0,academic,usa,3.0,22.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1569,arabic55,male,"['beirut,', 'lebanon']","arabic
(apc)","['french', '']","['70,', 'male', '']",33.0,academic,usa,37.0,70.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1677,arabic56,male,"['defla,', 'algeria']","arabic
(arq)","['french', '']","['43,', 'male', '']",12.0,academic,usa,3.0,43.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1699,arabic57,female,"['beirut,', 'lebanon']","arabic
(apc)","['french', '']","['28,', 'female', '']",17.0,academic,usa,11.0,28.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1700,arabic58,male,"['baghdad,', 'iraq']","arabic
(acm)",['none'],"['34,', 'male', '']",9.0,academic,usa,5.5,34.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1702,arabic59,male,"['irbid,', 'jordan']","arabic
(ajp)","['german', '']","['55,', 'male', '']",9.0,academic,usa,35.0,55.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1711,arabic60,male,"['cairo,', 'egypt']","arabic
(arz)","['french', '']","['60,', 'male', '']",14.0,academic,usa,23.0,60.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1753,arabic61,male,"['manama,', 'bahrain']","arabic
(afb)","['turkish', 'urdu', '']","['20,', 'male', '']",7.0,academic,usa,1.75,20.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1768,arabic62,male,"['saudi', 'arabia']","arabic
(ars)",['none'],"['19,', 'male', '']",18.0,academic,usa,1.0,19.0
http://accent.gmu.edu/browse_language.php?function=detail&speakerid=1769,arabic63,female,"['walid,', 'libya']","arabic
(ayl)",['none'],"['28,', 'female', '']",10.0,academic,usa,0.3,28.0
